MO,DY,NO_PREC,HIGH_PREC,YR_PREC,
7,16,36,0.50,1975,
7,17,37,0.47,1976,
7,18,36,0.21,1999,
7,19,36,0.34,2004,
7,20,36,0.56,1976,
7,21,36,0.67,1985,
7,22,36,0.59,2008,
7,23,36,0.34,1985,
7,24,36,0.82,1977,
7,25,36,0.93,1990,
7,26,37,0.60,2011,
7,27,37,0.50,1989,
7,28,36,0.32,1998,
7,29,36,0.22,1989,
7,30,37,0.40,2006,
7,31,37,0.43,2011,
8,1,35,0.25,2007,
8,2,35,0.62,2004,
8,3,35,0.52,1991,
8,4,35,0.77,2010,
8,5,35,0.39,1992,
8,6,35,0.40,1987,
8,7,35,0.71,1992,
8,8,35,0.78,1993,
8,9,35,0.64,1994,
8,10,35,0.76,1981,
8,11,35,0.37,1997,
8,12,35,0.45,1981,
8,13,35,0.66,1975,
8,14,35,0.36,1978,
8,15,36,0.46,1992,
8,16,35,1.15,1990,
8,17,35,0.87,1989,
8,18,36,0.55,1999,
8,19,35,0.28,1994,
8,20,35,0.35,2000,
8,21,35,0.32,2001,
8,22,36,0.20,2003,
8,23,35,0.26,1986,
8,24,36,0.56,1987,
8,25,35,0.61,1980,
8,26,35,1.94,1988,
8,27,35,0.77,1985,
8,28,36,0.22,1981,
8,29,35,0.28,2007,
8,30,35,0.58,1999,
8,31,35,0.15,1997,
9,1,36,0.85,2008,
9,2,36,0.42,1997,
9,3,36,0.35,1983,
9,4,36,0.60,1992,
9,5,36,0.78,2007,
9,6,36,0.35,1991,
9,7,36,1.00,1991,
9,8,36,2.00,1980,
9,9,36,0.93,2006,
9,10,36,0.80,1980,
9,11,36,0.70,1985,
9,12,36,0.47,2002,
9,13,36,0.80,1982,
9,14,36,0.81,2009,
9,15,36,0.31,1997,
9,16,36,0.76,2002,
9,17,36,0.27,1996,
9,18,36,0.90,1978,
9,19,36,1.10,1997,
9,20,36,0.75,1989,
9,21,36,0.94,2007,
9,22,36,0.10,2010,
9,23,36,0.73,2006,
9,24,36,0.86,1986,
9,25,36,0.53,1986,
9,26,36,0.47,1997,
9,27,36,0.60,2007,
9,28,36,0.30,1986,
9,29,36,2.38,1982,
9,30,36,1.40,2000,
10,1,37,0.31,1984,
10,2,37,0.82,2002,
10,3,37,0.78,2002,
10,4,37,0.93,1981,
10,5,37,0.66,2011,
10,6,37,1.30,2011,
10,7,36,0.92,1985,
10,8,37,0.69,1981,
