MO,DY,NO_PREC,HIGH_PREC,YR_PREC,
7,16,37,1.10,1981,
7,17,37,0.62,1967,
7,18,37,0.79,1957,
7,19,37,0.29,1977,
7,20,37,0.48,1977,
7,21,36,0.27,1979,
7,22,36,1.10,1970,
7,23,35,0.84,1983,
7,24,35,0.48,1966,
7,25,36,0.50,1983,
7,26,36,0.97,1988,
7,27,36,0.96,1984,
7,28,36,0.56,1957,
7,29,36,0.26,1985,
7,30,37,0.29,1969,
7,31,36,0.21,1967,
8,1,37,0.57,1991,
8,2,37,0.79,1972,
8,3,37,0.55,1966,
8,4,37,0.69,1991,
8,5,37,0.86,1973,
8,6,37,0.62,1968,
8,7,37,0.29,1967,
8,8,37,0.25,1961,
8,9,37,1.24,1994,
8,10,37,0.66,1993,
8,11,37,0.33,1957,
8,12,37,0.33,1979,
8,13,37,0.63,1978,
8,14,37,0.51,1978,
8,15,37,0.44,1991,
8,16,37,0.65,1973,
8,17,37,0.80,1968,
8,18,37,0.56,1965,
8,19,37,0.53,1959,
8,20,37,1.48,1984,
8,21,37,0.67,1973,
8,22,37,1.51,1968,
8,23,37,0.25,1961,
8,24,37,0.08,1981,
8,25,37,1.25,1987,
8,26,37,0.48,1961,
8,27,37,0.13,1977,
8,28,37,0.52,1982,
8,29,37,0.32,1969,
8,30,38,0.21,1990,
8,31,38,0.65,1966,
9,1,37,0.92,1973,
9,2,37,0.15,1961,
9,3,37,0.70,1983,
9,4,37,0.73,1983,
9,5,37,1.05,1970,
9,6,37,2.08,1970,
9,7,37,1.35,1971,
9,8,37,0.96,1991,
9,9,37,0.70,1967,
9,10,37,0.52,1982,
9,11,36,0.79,1985,
9,12,37,0.52,1958,
9,13,37,0.77,1963,
9,14,38,0.70,1966,
9,15,38,0.61,1959,
9,16,38,0.60,1965,
9,17,38,0.80,1989,
9,18,38,1.91,1978,
9,19,38,1.15,1985,
9,20,38,0.96,1989,
9,21,38,0.56,1984,
9,22,38,0.34,1967,
9,23,38,0.82,1977,
9,24,38,0.70,1986,
9,25,38,0.83,1986,
9,26,38,1.05,1982,
9,27,38,0.80,1959,
9,28,38,2.43,1982,
9,29,38,1.78,1982,
9,30,38,0.44,1982,
10,1,38,0.82,1971,
10,2,37,0.56,1966,
10,3,37,0.45,1957,
10,4,38,1.03,1981,
10,5,38,0.76,1972,
10,6,38,0.64,1977,
10,7,38,2.13,1985,
10,8,38,0.88,1981,
10,9,38,0.60,1961,
10,10,38,1.50,1972,
10,11,38,0.83,1981,
10,12,38,0.73,1984,
10,13,38,1.50,1966,
10,14,38,0.87,1983,
10,15,38,0.82,1980,
10,16,38,2.05,1980,
